                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.0668,                0.84178,                 1.5572,                0.88034,                0.88315,                0.93933,                0.59983,                 1.3012,                0.64466,                 1.8711,              0.0010046,              0.0010046,              0.0010046
                    153,                 1.0596,                  0.835,                 1.5414,                 0.9269,                0.86032,                0.92973,                 0.5835,                 1.4324,                0.67588,                 2.0892,              0.0010018,              0.0010018,              0.0010018
                    154,                 1.0328,                0.80642,                 1.5124,                0.92029,                0.86906,                0.95345,                0.57785,                 1.4264,                0.64421,                 2.0448,             0.00099893,             0.00099893,             0.00099893
                    155,                 1.0316,                0.81293,                 1.5229,                0.98022,                 0.9004,                0.93579,                0.59572,                  1.326,                0.70406,                 1.9915,              0.0009961,              0.0009961,              0.0009961
                    156,                 1.0786,                0.87715,                 1.5658,                0.91755,                0.86043,                0.92313,                0.58543,                 1.3261,                0.73867,                 1.9361,             0.00099327,             0.00099327,             0.00099327
                    157,                 1.0285,                0.80105,                 1.5165,                0.93607,                0.87089,                0.95616,                0.59819,                 1.2435,                0.69058,                 1.9062,             0.00099044,             0.00099044,             0.00099044
                    158,                  1.067,                0.82938,                 1.5457,                0.93027,                0.91611,                0.96852,                0.60642,                 1.2918,                0.64851,                 1.9979,             0.00098761,             0.00098761,             0.00098761
                    159,                 1.0487,                 0.8607,                 1.5235,                0.98039,                0.85696,                  0.955,                0.59451,                 1.3416,                0.65986,                 1.9791,             0.00098478,             0.00098478,             0.00098478
                    160,                0.99113,                0.79713,                 1.4947,                0.93517,                0.84902,                0.93172,                0.59701,                  1.257,                0.67491,                 1.8354,             0.00098195,             0.00098195,             0.00098195
                    161,                 1.0119,                0.79259,                   1.47,                0.94741,                0.81752,                 0.9353,                0.58671,                 1.3309,                 0.6819,                 1.9862,             0.00097912,             0.00097912,             0.00097912
                    162,                 1.0471,                0.87078,                 1.5248,                0.90168,                0.88733,                0.94681,                0.57887,                 1.3916,                 0.6789,                 2.0596,             0.00097629,             0.00097629,             0.00097629
                    163,                 1.0182,                0.82323,                  1.514,                0.96476,                 0.8993,                 0.9611,                0.62789,                 1.2208,                0.60958,                 1.8926,             0.00097346,             0.00097346,             0.00097346
                    164,                 1.0154,                0.81089,                 1.5113,                0.90191,                0.92027,                0.95118,                0.59564,                   1.38,                0.71773,                 2.0024,             0.00097063,             0.00097063,             0.00097063
                    165,                 1.0457,                0.79468,                 1.5222,                 0.9235,                 0.8387,                0.92589,                0.56343,                 1.3906,                0.77156,                 2.0693,              0.0009678,              0.0009678,              0.0009678
                    166,                 1.0671,                0.88183,                  1.531,                0.93622,                0.85831,                0.96265,                0.63209,                 1.2213,                0.62522,                 1.8823,             0.00096498,             0.00096498,             0.00096498
                    167,                 1.0207,                0.79834,                 1.4922,                0.96891,                0.91779,                0.96825,                0.62345,                 1.2806,                0.57643,                 1.9745,             0.00096215,             0.00096215,             0.00096215
                    168,                0.98812,                0.80481,                 1.4619,                0.96763,                0.89599,                0.95638,                0.62749,                 1.2034,                 0.5835,                 1.8123,             0.00095932,             0.00095932,             0.00095932
                    169,                 1.0128,                0.82342,                 1.5055,                0.96359,                0.88012,                0.94826,                0.61695,                 1.2695,                0.61467,                 1.8874,             0.00095649,             0.00095649,             0.00095649
                    170,                0.97488,                0.80241,                 1.4495,                  0.916,                0.88221,                0.95571,                0.59991,                 1.3111,                0.67992,                 2.0027,             0.00095366,             0.00095366,             0.00095366
                    171,                 1.0211,                 0.8019,                 1.4938,                0.97248,                0.87479,                0.95236,                0.62413,                 1.3097,                0.62306,                 1.9958,             0.00095083,             0.00095083,             0.00095083
                    172,                 1.0035,                0.79628,                 1.4752,                0.93371,                0.91461,                0.96651,                0.63735,                 1.2413,                0.62877,                 1.9225,               0.000948,               0.000948,               0.000948
                    173,                 1.0022,                0.78257,                 1.4892,                0.92523,                0.91072,                0.96754,                0.63241,                 1.3226,                0.58826,                 1.9302,             0.00094517,             0.00094517,             0.00094517
                    174,                0.99013,                 0.8116,                 1.4857,                0.93375,                0.87283,                0.93831,                0.58707,                 1.3464,                0.65099,                 1.9362,             0.00094234,             0.00094234,             0.00094234
                    175,                 1.0065,                0.81759,                 1.4771,                0.97715,                0.91089,                0.95323,                0.61747,                 1.2458,                 0.6195,                 1.8654,             0.00093951,             0.00093951,             0.00093951
                    176,                0.99942,                0.81309,                 1.4832,                0.94756,                0.90371,                0.96153,                0.63605,                 1.3056,                0.61988,                 1.9779,             0.00093668,             0.00093668,             0.00093668
                    177,                0.97919,                0.79441,                 1.4711,                0.94783,                0.92141,                0.95759,                0.59501,                 1.3968,                  0.628,                  2.116,             0.00093385,             0.00093385,             0.00093385
                    178,                 1.0519,                0.82831,                  1.531,                0.94019,                0.88999,                0.94916,                0.61598,                 1.3201,                0.59723,                 1.9271,             0.00093102,             0.00093102,             0.00093102
                    179,                0.95342,                0.75923,                 1.4309,                0.93591,                0.90125,                 0.9527,                 0.6181,                 1.3399,                0.61973,                 1.9149,             0.00092819,             0.00092819,             0.00092819
                    180,                0.96154,                0.83201,                 1.4433,                0.94366,                0.90583,                 0.9573,                0.59955,                 1.3678,                0.63545,                 2.0036,             0.00092536,             0.00092536,             0.00092536
                    181,                 0.9899,                0.78533,                 1.4666,                0.94328,                0.85359,                0.93639,                0.60812,                 1.2483,                0.63814,                 1.8846,             0.00092253,             0.00092253,             0.00092253
                    182,                0.94165,                0.75465,                 1.4334,                0.93679,                0.88189,                0.93739,                0.61205,                 1.2317,                0.68819,                 1.8899,              0.0009197,              0.0009197,              0.0009197
                    183,                      1,                0.75345,                 1.4693,                0.98704,                0.91364,                0.96192,                0.60117,                 1.2558,                0.61459,                 1.9206,             0.00091687,             0.00091687,             0.00091687
                    184,                0.97027,                0.74516,                 1.4525,                0.92803,                0.91028,                0.93897,                0.59881,                 1.3088,                0.62858,                 1.9184,             0.00091405,             0.00091405,             0.00091405
                    185,                0.98451,                0.78154,                 1.4391,                0.91966,                0.89913,                0.94372,                0.59482,                 1.3355,                0.64698,                 1.9779,             0.00091122,             0.00091122,             0.00091122
                    186,                0.95363,                0.76079,                 1.4222,                0.95105,                 0.8966,                0.96955,                0.60642,                 1.3936,                0.60043,                 2.0224,             0.00090839,             0.00090839,             0.00090839
                    187,                0.94519,                0.74981,                 1.4273,                0.95744,                0.85407,                0.94697,                0.61283,                 1.2722,                0.64292,                  1.905,             0.00090556,             0.00090556,             0.00090556
                    188,                0.99489,                0.81318,                 1.4678,                   0.89,                0.91856,                0.95601,                0.58827,                 1.3834,                0.62597,                 2.1672,             0.00090273,             0.00090273,             0.00090273
                    189,                0.94558,                0.78335,                 1.4422,                0.96457,                0.87944,                0.94673,                0.61671,                 1.2595,                0.66792,                 1.9024,              0.0008999,              0.0008999,              0.0008999
                    190,                0.96223,                0.77469,                 1.4855,                0.95857,                0.86665,                 0.9564,                 0.6346,                 1.3063,                0.63426,                  1.999,             0.00089707,             0.00089707,             0.00089707
                    191,                 1.0137,                 0.7998,                 1.4809,                0.93301,                0.85801,                0.95507,                0.60351,                 1.3842,                0.66849,                 2.0549,             0.00089424,             0.00089424,             0.00089424
                    192,                0.99346,                 0.7797,                 1.4648,                0.94107,                0.89559,                0.96071,                0.59892,                 1.3386,                0.64091,                 1.9849,             0.00089141,             0.00089141,             0.00089141
                    193,                0.94794,                0.73495,                  1.423,                0.93555,                0.89784,                0.96862,                0.60955,                 1.2758,                0.61433,                  1.887,             0.00088858,             0.00088858,             0.00088858
                    194,                0.96887,                0.74803,                 1.4477,                0.92075,                0.91115,                0.95167,                0.63137,                 1.2225,                0.57854,                 1.8976,             0.00088575,             0.00088575,             0.00088575
                    195,                 1.0124,                0.83191,                 1.4562,                0.91277,                0.90869,                0.95095,                0.61114,                 1.2515,                0.57083,                 1.9383,             0.00088292,             0.00088292,             0.00088292
                    196,                 0.9678,                0.76132,                  1.432,                0.89929,                0.93553,                0.95235,                0.60946,                 1.3997,                0.58852,                 2.0397,             0.00088009,             0.00088009,             0.00088009
                    197,                0.93576,                0.72931,                  1.427,                0.94781,                 0.8884,                0.95588,                0.62286,                 1.2848,                0.58061,                 1.9589,             0.00087726,             0.00087726,             0.00087726
                    198,                0.97093,                0.78523,                 1.4673,                0.96176,                0.87473,                0.95536,                0.61191,                  1.281,                0.60921,                 1.9086,             0.00087443,             0.00087443,             0.00087443
                    199,                0.93765,                0.71859,                 1.4165,                0.96857,                 0.9015,                0.96913,                0.62201,                 1.2823,                0.58781,                  1.887,              0.0008716,              0.0008716,              0.0008716
                    200,                0.91252,                0.73631,                 1.4117,                0.94095,                0.91169,                0.95141,                0.60575,                 1.3194,                0.61967,                 1.9451,             0.00086877,             0.00086877,             0.00086877
                    201,                0.97251,                0.80801,                 1.4591,                0.98051,                0.88184,                0.96759,                0.63502,                 1.2681,                0.58933,                 1.8965,             0.00086595,             0.00086595,             0.00086595
                    202,                 0.9428,                0.74194,                 1.4294,                 0.9455,                0.87007,                0.95212,                0.61419,                 1.2301,                0.63153,                 1.8965,             0.00086312,             0.00086312,             0.00086312
                    203,                0.94671,                0.76097,                 1.4006,                 0.9253,                0.86453,                0.94744,                0.63296,                 1.2205,                0.60115,                 1.8481,             0.00086029,             0.00086029,             0.00086029
                    204,                0.91537,                0.71273,                 1.4099,                0.94442,                0.91953,                0.97104,                0.61472,                 1.2425,                0.55717,                  1.916,             0.00085746,             0.00085746,             0.00085746
                    205,                 0.9323,                0.74662,                 1.4132,                0.90536,                0.89069,                0.95104,                0.61165,                 1.3362,                  0.626,                 2.0494,             0.00085463,             0.00085463,             0.00085463
                    206,                0.90981,                0.69393,                 1.3956,                0.96873,                0.88786,                0.95683,                0.60549,                 1.3931,                0.71074,                 2.1059,              0.0008518,              0.0008518,              0.0008518
                    207,                 0.9144,                0.72519,                 1.3989,                0.92501,                0.90585,                0.95472,                0.62285,                 1.2595,                0.60325,                 1.9733,             0.00084897,             0.00084897,             0.00084897
                    208,                0.89793,                0.69035,                 1.3612,                0.95156,                0.91393,                0.96491,                0.60779,                 1.3235,                0.64336,                 1.9842,             0.00084614,             0.00084614,             0.00084614
                    209,                0.86763,                 0.6744,                 1.3613,                 0.9708,                0.89123,                 0.9692,                0.61395,                 1.2616,                0.59659,                 1.9568,             0.00084331,             0.00084331,             0.00084331
                    210,                0.90574,                0.71589,                 1.3787,                 0.9603,                 0.8898,                 0.9546,                0.60433,                 1.3375,                0.61622,                 2.0974,             0.00084048,             0.00084048,             0.00084048
                    211,                0.91133,                0.70929,                 1.3978,                0.92839,                0.88604,                0.94757,                0.62825,                 1.2366,                0.59108,                 1.9541,             0.00083765,             0.00083765,             0.00083765
                    212,                0.88742,                0.72849,                 1.3853,                0.90592,                0.94042,                0.95969,                0.61593,                 1.2611,                0.59736,                 1.9459,             0.00083482,             0.00083482,             0.00083482
                    213,                0.93528,                0.72549,                 1.4108,                0.93641,                0.88731,                0.93958,                0.59278,                 1.3579,                0.63427,                 2.0061,             0.00083199,             0.00083199,             0.00083199
                    214,                0.87474,                0.73813,                 1.3617,                0.93631,                 0.9166,                0.96879,                 0.6197,                 1.2324,                0.56003,                 1.8664,             0.00082916,             0.00082916,             0.00082916
                    215,                0.93381,                0.72656,                 1.4105,                0.93662,                0.89913,                0.94887,                0.60961,                 1.2515,                0.59636,                 1.8978,             0.00082633,             0.00082633,             0.00082633
                    216,                0.89071,                0.69672,                 1.3748,                0.88132,                0.92032,                0.95892,                0.59362,                 1.4523,                0.63135,                 2.1751,              0.0008235,              0.0008235,              0.0008235
                    217,                0.92093,                0.72208,                 1.4089,                0.92917,                 0.9315,                0.96789,                0.61473,                  1.277,                0.55329,                 1.9399,             0.00082067,             0.00082067,             0.00082067
                    218,                 0.9119,                0.72393,                 1.3949,                0.95788,                0.92521,                0.95538,                 0.6106,                 1.2737,                0.60349,                 1.9752,             0.00081785,             0.00081785,             0.00081785
                    219,                0.91254,                0.73385,                 1.3863,                0.98386,                0.90319,                0.96075,                0.62417,                 1.2994,                 0.5915,                 1.9736,             0.00081502,             0.00081502,             0.00081502
                    220,                 0.8955,                 0.7113,                 1.3774,                0.96307,                0.88157,                0.95309,                 0.6314,                 1.2258,                0.60996,                 1.8785,             0.00081219,             0.00081219,             0.00081219
                    221,                0.87483,                0.71539,                 1.3588,                0.88813,                0.94044,                0.96658,                0.64511,                  1.188,                0.62545,                 1.9062,             0.00080936,             0.00080936,             0.00080936
                    222,                0.88965,                0.71601,                 1.3735,                0.96579,                0.92563,                0.97935,                  0.626,                 1.3165,                0.59156,                  2.076,             0.00080653,             0.00080653,             0.00080653
                    223,                0.92693,                0.75328,                 1.4183,                0.97077,                0.91739,                0.96454,                0.63037,                 1.2492,                0.54231,                 1.9367,              0.0008037,              0.0008037,              0.0008037
                    224,                0.90399,                0.70656,                 1.3956,                0.95415,                0.92513,                0.97095,                 0.6266,                 1.3031,                0.55712,                 1.9929,             0.00080087,             0.00080087,             0.00080087
                    225,                0.88711,                0.70603,                 1.3773,                0.93683,                 0.9152,                0.95893,                 0.6276,                 1.3328,                0.57934,                  2.059,             0.00079804,             0.00079804,             0.00079804
                    226,                0.88677,                0.72224,                 1.3889,                0.96633,                0.92441,                 0.9695,                0.63114,                 1.3007,                0.56137,                 2.0329,             0.00079521,             0.00079521,             0.00079521
                    227,                0.91186,                0.70337,                 1.4367,                0.99281,                  0.859,                0.96334,                0.61762,                  1.313,                0.61296,                 1.9939,             0.00079238,             0.00079238,             0.00079238
                    228,                0.92025,                0.71537,                 1.4188,                0.96543,                0.88087,                0.96096,                0.63107,                 1.2854,                0.56426,                 1.9341,             0.00078955,             0.00078955,             0.00078955
                    229,                0.95425,                0.73928,                 1.4337,                0.91323,                0.89584,                0.96274,                0.61061,                 1.2467,                0.55985,                 1.9627,             0.00078672,             0.00078672,             0.00078672
                    230,                0.86928,                 0.6879,                 1.3449,                0.92101,                0.91794,                0.95527,                0.61587,                 1.3168,                0.58279,                  2.004,             0.00078389,             0.00078389,             0.00078389
                    231,                0.88206,                0.71409,                 1.3682,                0.96165,                0.92502,                0.95545,                0.62254,                 1.2897,                0.56655,                 1.9498,             0.00078106,             0.00078106,             0.00078106
                    232,                0.89261,                0.71316,                 1.3828,                0.90754,                0.87296,                0.96572,                0.63783,                 1.3054,                0.63705,                 2.0204,             0.00077823,             0.00077823,             0.00077823
                    233,                0.86676,                 0.6842,                 1.3587,                0.92804,                0.93525,                0.96511,                0.61145,                 1.2821,                0.57398,                 2.0499,              0.0007754,              0.0007754,              0.0007754
                    234,                0.90013,                0.68746,                 1.3731,                0.91171,                0.93407,                0.96244,                0.63065,                 1.2619,                0.58795,                 1.9635,             0.00077257,             0.00077257,             0.00077257
                    235,                0.84169,                0.66263,                 1.3355,                0.95069,                0.88295,                0.95448,                0.64528,                 1.2509,                  0.589,                 1.9023,             0.00076975,             0.00076975,             0.00076975
                    236,                0.89876,                0.67833,                 1.3709,                0.93041,                0.94042,                0.96105,                0.64227,                 1.2872,                0.55556,                 1.9773,             0.00076692,             0.00076692,             0.00076692
                    237,                0.84676,                 0.6618,                 1.3466,                0.93958,                0.90674,                0.95359,                0.62346,                 1.2815,                0.61362,                 1.9803,             0.00076409,             0.00076409,             0.00076409
                    238,                0.87405,                0.66745,                 1.3478,                0.95842,                0.91992,                0.95784,                0.64117,                 1.1794,                0.56258,                 1.9134,             0.00076126,             0.00076126,             0.00076126
                    239,                0.85615,                0.67932,                 1.3204,                0.92937,                0.85881,                0.94096,                0.59576,                 1.2543,                0.62116,                 1.9246,             0.00075843,             0.00075843,             0.00075843
                    240,                0.86873,                0.68685,                 1.3611,                0.97325,                0.91275,                0.96217,                0.64692,                 1.2516,                0.53965,                 1.9316,              0.0007556,              0.0007556,              0.0007556
                    241,                0.84995,                0.70386,                 1.3354,                0.89606,                 0.9531,                0.96517,                0.61395,                 1.2701,                0.56021,                 2.0185,             0.00075277,             0.00075277,             0.00075277
                    242,                 0.8781,                0.68702,                 1.3563,                0.90163,                0.91384,                0.95048,                  0.621,                 1.2231,                0.55265,                 1.9685,             0.00074994,             0.00074994,             0.00074994
                    243,                0.91091,                0.67182,                 1.3712,                0.97192,                0.88858,                0.94498,                0.61561,                 1.2166,                0.56232,                 1.8914,             0.00074711,             0.00074711,             0.00074711
                    244,                0.85235,                0.65323,                 1.3174,                  0.963,                0.91971,                0.97374,                0.64133,                 1.2653,                0.54447,                 1.9412,             0.00074428,             0.00074428,             0.00074428
                    245,                 0.8674,                0.66228,                 1.3503,                0.96446,                0.92464,                0.96671,                0.64144,                 1.2029,                0.51818,                 1.8922,             0.00074145,             0.00074145,             0.00074145
                    246,                0.85191,                0.66563,                 1.3337,                 0.9712,                0.92969,                0.96771,                0.64495,                 1.2168,                0.53312,                 1.8994,             0.00073862,             0.00073862,             0.00073862
                    247,                 0.8259,                 0.6692,                 1.3363,                0.90743,                0.89883,                0.97154,                0.64771,                 1.2177,                0.52806,                 1.8935,             0.00073579,             0.00073579,             0.00073579
                    248,                0.85691,                0.68717,                 1.3367,                0.96645,                0.86333,                0.94981,                0.62483,                 1.2623,                0.59709,                  1.944,             0.00073296,             0.00073296,             0.00073296
                    249,                0.84106,                0.65047,                 1.3245,                0.94292,                0.90321,                0.93894,                0.62741,                 1.2421,                0.60648,                  1.876,             0.00073013,             0.00073013,             0.00073013
                    250,                0.82626,                0.66572,                 1.3323,                0.96102,                0.87707,                0.94397,                0.60665,                 1.2461,                0.57927,                 1.9431,              0.0007273,              0.0007273,              0.0007273
                    251,                0.85565,                 0.6415,                  1.343,                0.96257,                 0.8756,                0.96727,                0.62349,                 1.2214,                0.57151,                 1.8683,             0.00072447,             0.00072447,             0.00072447
                    252,                0.85345,                 0.6435,                 1.3466,                0.96568,                 0.9004,                0.96105,                0.63447,                 1.2555,                0.60455,                 1.9551,             0.00072164,             0.00072164,             0.00072164
                    253,                 0.8531,                0.65132,                  1.339,                0.97277,                0.90917,                0.94961,                0.62286,                 1.2457,                0.61259,                 1.8964,             0.00071882,             0.00071882,             0.00071882
                    254,                  0.798,                0.61782,                 1.2915,                 0.9797,                0.91078,                0.94843,                 0.6247,                 1.1997,                0.57398,                 1.8325,             0.00071599,             0.00071599,             0.00071599
                    255,                0.81815,                0.65464,                 1.3225,                0.97634,                0.91006,                0.94518,                0.60947,                 1.2683,                0.59586,                 1.9224,             0.00071316,             0.00071316,             0.00071316
                    256,                 0.8604,                0.68357,                 1.3366,                0.97065,                0.88916,                0.94802,                0.63573,                 1.1881,                 0.5875,                 1.8765,             0.00071033,             0.00071033,             0.00071033
                    257,                0.86009,                0.67198,                 1.3488,                0.97004,                0.88087,                0.94395,                0.60987,                 1.2621,                0.63364,                 1.9476,              0.0007075,              0.0007075,              0.0007075
                    258,                0.82021,                0.65574,                 1.2997,                0.95509,                0.90677,                0.95477,                0.61501,                 1.2435,                0.57775,                 1.9621,             0.00070467,             0.00070467,             0.00070467
                    259,                0.85116,                0.67941,                 1.3422,                0.96277,                0.91196,                0.95635,                0.62472,                 1.2561,                0.56659,                 1.9663,             0.00070184,             0.00070184,             0.00070184
                    260,                0.84443,                0.66014,                 1.3386,                0.94117,                 0.8796,                0.94597,                0.62689,                 1.2341,                0.55286,                 1.9086,             0.00069901,             0.00069901,             0.00069901
                    261,                  0.836,                0.64985,                 1.3188,                0.91984,                0.91931,                0.95169,                0.62877,                 1.2651,                0.56739,                 1.9474,             0.00069618,             0.00069618,             0.00069618
                    262,                0.80727,                0.63234,                 1.3004,                0.96837,                0.86996,                0.93009,                0.61467,                 1.2345,                0.71373,                 1.9407,             0.00069335,             0.00069335,             0.00069335
                    263,                0.80291,                0.61538,                 1.2877,                0.96559,                0.90545,                0.94698,                0.60229,                  1.261,                0.58056,                 1.9976,             0.00069052,             0.00069052,             0.00069052
                    264,                0.82354,                0.66796,                 1.3155,                0.96566,                0.91677,                0.94948,                0.61039,                 1.3138,                0.56715,                 2.0446,             0.00068769,             0.00068769,             0.00068769
                    265,                0.79397,                0.62675,                  1.286,                0.93282,                0.90752,                0.95904,                0.62634,                 1.2741,                0.57219,                 1.9913,             0.00068486,             0.00068486,             0.00068486
                    266,                0.81351,                0.63845,                 1.3204,                0.92436,                0.92807,                0.95934,                 0.6289,                  1.262,                0.54987,                 1.9767,             0.00068203,             0.00068203,             0.00068203
                    267,                0.78202,                0.61484,                 1.2889,                0.96224,                0.89804,                0.94696,                0.61868,                 1.2555,                0.55222,                 1.8954,              0.0006792,              0.0006792,              0.0006792
                    268,                0.81534,                0.68205,                 1.3068,                0.97946,                0.91258,                0.95689,                0.62772,                 1.2113,                0.57195,                 1.9159,             0.00067637,             0.00067637,             0.00067637
                    269,                0.80494,                0.63268,                 1.2956,                0.97328,                 0.9138,                0.97849,                0.63434,                 1.2294,                0.52814,                 1.9076,             0.00067354,             0.00067354,             0.00067354
                    270,                0.77995,                 0.5833,                 1.2887,                0.95034,                0.91696,                0.96612,                0.63972,                 1.2731,                0.55277,                 1.9637,             0.00067072,             0.00067072,             0.00067072
                    271,                0.76787,                 0.6027,                 1.2624,                0.93211,                0.90369,                0.96079,                0.64905,                 1.2174,                0.54938,                 1.9054,             0.00066789,             0.00066789,             0.00066789
                    272,                0.81679,                0.63832,                 1.3149,                0.96007,                0.90321,                0.95477,                0.64206,                 1.2115,                0.54014,                 1.9499,             0.00066506,             0.00066506,             0.00066506
                    273,                0.80994,                 0.6336,                  1.315,                0.96928,                0.92752,                0.96411,                0.64508,                 1.2436,                0.55594,                 2.0017,             0.00066223,             0.00066223,             0.00066223
                    274,                0.80818,                0.62225,                 1.2993,                0.95076,                0.91423,                0.96611,                0.64008,                  1.262,                0.56477,                 2.0644,              0.0006594,              0.0006594,              0.0006594
                    275,                0.79542,                0.60766,                 1.2989,                0.94544,                0.92459,                0.96935,                0.63832,                 1.2225,                0.56198,                 2.0061,             0.00065657,             0.00065657,             0.00065657
                    276,                 0.8066,                0.62907,                 1.3045,                0.95814,                0.92858,                 0.9595,                0.62196,                 1.3066,                0.55448,                 2.0368,             0.00065374,             0.00065374,             0.00065374
                    277,                0.79421,                0.59142,                 1.2919,                0.94471,                0.93945,                0.95859,                0.60755,                 1.3608,                0.57327,                 2.1142,             0.00065091,             0.00065091,             0.00065091
                    278,                0.83901,                0.66075,                 1.3361,                0.93531,                0.90918,                0.95698,                0.62192,                 1.2462,                0.55861,                 1.9969,             0.00064808,             0.00064808,             0.00064808
                    279,                0.80177,                 0.6267,                 1.3076,                0.98218,                0.92897,                0.97334,                0.65137,                 1.2095,                0.53403,                 1.9316,             0.00064525,             0.00064525,             0.00064525
                    280,                0.77113,                0.58783,                 1.3027,                 0.9641,                0.89222,                0.96141,                 0.6382,                 1.2404,                0.57229,                 1.9942,             0.00064242,             0.00064242,             0.00064242
                    281,                0.77982,                0.65615,                 1.2988,                0.93446,                0.91066,                0.95876,                0.63104,                 1.2619,                0.55369,                 2.0211,             0.00063959,             0.00063959,             0.00063959
                    282,                0.77926,                0.63056,                   1.28,                0.93548,                0.90798,                0.96165,                0.62845,                 1.2285,                0.56816,                 1.9461,             0.00063676,             0.00063676,             0.00063676
                    283,                0.75101,                0.61063,                 1.2444,                0.97562,                0.88005,                 0.9595,                0.63679,                  1.261,                0.57191,                 1.9934,             0.00063393,             0.00063393,             0.00063393
                    284,                0.78612,                0.60479,                 1.2758,                0.93297,                0.89327,                0.94718,                0.62873,                 1.2223,                0.59128,                 1.9098,              0.0006311,              0.0006311,              0.0006311
                    285,                0.80954,                0.60958,                 1.3079,                0.94484,                0.91115,                0.95447,                0.62713,                 1.2683,                 0.5486,                 1.9958,             0.00062827,             0.00062827,             0.00062827
                    286,                0.80304,                0.63699,                  1.296,                0.96822,                0.90621,                0.94611,                0.63662,                 1.2582,                0.55743,                  2.005,             0.00062544,             0.00062544,             0.00062544
                    287,                0.79238,                 0.6267,                 1.2907,                0.96849,                0.90652,                0.95488,                0.63942,                 1.2063,                0.55715,                 1.9173,             0.00062262,             0.00062262,             0.00062262
                    288,                0.77558,                 0.6167,                 1.2995,                0.95177,                0.90843,                0.96036,                0.63903,                 1.2219,                0.53655,                 1.8813,             0.00061979,             0.00061979,             0.00061979
                    289,                0.75264,                0.59195,                 1.2563,                0.95731,                0.91066,                0.95496,                0.63932,                 1.2769,                0.56046,                 2.0058,             0.00061696,             0.00061696,             0.00061696
                    290,                0.81358,                0.66133,                 1.3018,                0.94325,                0.89532,                0.96054,                0.64587,                 1.2279,                0.53778,                 1.9583,             0.00061413,             0.00061413,             0.00061413
                    291,                0.77778,                0.60615,                 1.2775,                0.97342,                0.89167,                0.96119,                0.64093,                 1.1991,                0.52593,                 1.9311,              0.0006113,              0.0006113,              0.0006113
                    292,                0.79443,                0.64536,                 1.3185,                0.96244,                 0.8962,                0.96275,                0.64242,                 1.2458,                0.56163,                 1.9852,             0.00060847,             0.00060847,             0.00060847
                    293,                0.76081,                0.59869,                 1.2743,                0.92216,                0.94235,                0.97789,                0.64709,                 1.2386,                0.52954,                 1.9919,             0.00060564,             0.00060564,             0.00060564
                    294,                0.77811,                0.61107,                  1.282,                0.97888,                0.91973,                0.96989,                0.63921,                 1.2171,                0.50785,                 1.9497,             0.00060281,             0.00060281,             0.00060281
                    295,                0.76773,                0.58623,                 1.2672,                0.96898,                0.90376,                0.96315,                0.63586,                 1.2231,                0.54063,                 1.9678,             0.00059998,             0.00059998,             0.00059998
                    296,                0.76134,                 0.5788,                  1.274,                0.96888,                0.88583,                0.95615,                0.63083,                 1.2158,                0.55846,                 1.9488,             0.00059715,             0.00059715,             0.00059715
                    297,                0.77076,                0.59989,                 1.2726,                0.96326,                0.90004,                0.97437,                0.64459,                 1.2112,                0.53635,                 1.8845,             0.00059432,             0.00059432,             0.00059432
                    298,                0.78319,                0.61149,                 1.2804,                0.95055,                0.92755,                 0.9731,                0.64653,                 1.2112,                0.52419,                 1.9293,             0.00059149,             0.00059149,             0.00059149
                    299,                0.73873,                 0.5798,                 1.2375,                0.94961,                0.88896,                0.94921,                0.61921,                 1.2553,                0.55055,                 2.0143,             0.00058866,             0.00058866,             0.00058866
                    300,                0.75584,                0.56499,                  1.255,                0.93661,                0.90446,                0.95242,                0.61636,                 1.2102,                0.56449,                 1.9845,             0.00058583,             0.00058583,             0.00058583
                    301,                0.78053,                0.60386,                 1.2664,                0.96882,                0.88087,                0.94981,                0.61738,                 1.2174,                0.58075,                 1.9458,               0.000583,               0.000583,               0.000583
                    302,                0.81048,                0.62885,                 1.2872,                0.98312,                0.89571,                0.96721,                0.63308,                 1.1973,                0.52791,                 1.9184,             0.00058017,             0.00058017,             0.00058017
                    303,                0.77678,                0.58586,                 1.2614,                0.97166,                0.88658,                 0.9607,                0.63182,                 1.2512,                0.56319,                  1.973,             0.00057734,             0.00057734,             0.00057734
                    304,                0.75612,                0.56504,                 1.2566,                0.98779,                0.88069,                0.95888,                0.63604,                 1.2895,                0.57262,                 1.9919,             0.00057452,             0.00057452,             0.00057452
                    305,                0.77647,                0.62854,                 1.2762,                0.94286,                0.91666,                0.95395,                0.61945,                 1.2776,                0.57587,                 2.0004,             0.00057169,             0.00057169,             0.00057169
                    306,                0.73111,                0.58275,                 1.2493,                0.98849,                0.90238,                0.96026,                0.63758,                 1.2168,                0.55734,                 1.9555,             0.00056886,             0.00056886,             0.00056886
                    307,                 0.7125,                 0.5436,                 1.2314,                0.96783,                0.89162,                0.95151,                0.63041,                 1.1995,                0.54689,                  1.962,             0.00056603,             0.00056603,             0.00056603
